state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average,total_population,foreign_born_est_prop,l1_africa,l1_americas,l1_asia,l1_europe,l1_oceania,l2_africa_eastern_africa,l2_africa_middle_africa,l2_africa_northern_africa,l2_africa_southern_africa,l2_africa_western_africa,l2_americas_latin_america,l2_americas_northern_america,l2_asia_eastern_asia,l2_asia_south_central_asia,l2_asia_south_eastern_asia,l2_asia_western_asia,l2_europe_eastern_europe,l2_europe_northern_europe,l2_europe_southern_europe,l2_europe_western_europe,l2_oceania_australia_nzealand_subregion,origin_prop
Michigan,Fraser,Iraq,3,0,0,0,5,6,0,0,4,0,3,-100,14616,5.08,5.25606469002695,23.989218328841,26.9541778975741,43.800539083558,0,3.63881401617251,0,1.61725067385445,0,0,17.6549865229111,6.33423180592992,3.77358490566038,10.377358490566,4.85175202156334,7.95148247978437,28.8409703504043,2.15633423180593,8.35579514824798,4.44743935309973,0,3.23450134770889
Michigan,Grand Rapids,Sri Lanka (Ceylon),1,2,1,4,8,6,0,0,1,1,3,-66.67,195355,10.27,10.4316188197767,59.3500797448166,19.5773524720893,10.5661881977671,0.0747607655502392,6.17523923444976,2.0633971291866,0.0797448165869219,0.393740031897927,1.7194976076555,55.8014354066986,3.54864433811802,4.50558213716108,5.42763157894737,8.3133971291866,1.33074162679426,5.87121212121212,1.39553429027113,0.423644338118022,2.87579744816587,0.0498405103668262,0
Minnesota,Ramsey,Somalia,0,0,0,0,0,0,0,10,5,0,3,-100,25853,5.17,21.5407629020194,15.2580403889304,33.5078534031414,28.3470456245325,1.34629768137622,10.5459985041137,0.822737471952132,4.33807030665669,0,5.83395661929693,13.6125654450262,1.64547494390426,5.6095736724009,6.58189977561705,19.2221391174271,2.09424083769634,25.9536275243082,0,0.673148840688108,1.72026925953628,0.822737471952132,0
Minnesota,Willmar,Ethiopia,0,0,0,1,0,1,4,4,6,1,3,-66.67,19608,15.8,44.3834732085216,45.2872821174952,8.13428018076178,2.03357004519045,0.161394448030988,43.4151065203357,0,0,0,0.968366688185926,44.125242091672,1.16204002582311,1.54938670109748,1.38799225306649,5.1969012265978,0,0.548741123305358,0.677856681730148,0,0.806972240154939,0,9.1994835377663
Missouri,Affton,Iraq,0,4,0,0,0,0,0,9,6,0,3,-100,21704,11.71,6.45415190869736,3.69933097205824,21.9992129083038,67.375049193231,0.472255017709563,6.45415190869736,0,0,0,0,3.69933097205824,0,4.36835891381346,2.40062967335695,13.9315230224321,1.2987012987013,55.7260920897285,0.747737111373475,1.92837465564738,8.9728453364817,0,0
Missouri,Kansas City,Republic of South Sudan,0,0,0,0,0,0,0,12,3,0,3,-100,476974,7.78,14.3542733890537,48.004853060124,29.0266918306821,7.87813426799676,0.736047452143435,7.70288487462928,0.789970342410353,0.994877325424643,0.258829873281208,3.5939606362901,46.8050687516851,1.19978430843893,6.25235912644918,5.96117551900782,12.1703963332435,4.46751145861418,2.69075222431922,1.38042599083311,1.1566459962254,2.65031005661903,0.229172283634403,
Missouri,Kansas City,Rwanda,0,0,0,0,9,0,6,0,0,0,3,-100,476974,7.78,14.3542733890537,48.004853060124,29.0266918306821,7.87813426799676,0.736047452143435,7.70288487462928,0.789970342410353,0.994877325424643,0.258829873281208,3.5939606362901,46.8050687516851,1.19978430843893,6.25235912644918,5.96117551900782,12.1703963332435,4.46751145861418,2.69075222431922,1.38042599083311,1.1566459962254,2.65031005661903,0.229172283634403,
Nebraska,Omaha,Ethiopia,9,2,0,1,0,0,0,5,10,9,3,200,463081,10.27,10.2522068095839,53.9995796553174,29.1530054644809,6.4228667507356,0.172341319882304,3.50147120638924,0.918453131567886,2.00714585960488,0.130306851618327,2.91088692728037,53.3249264396805,0.674653215636822,5.09878100042034,11.5636822194199,10.6431273644388,1.84741488020177,2.77427490542245,1.31988230348886,0.67885666246322,1.63303909205549,0.130306851618327,0.363598150483396
Nevada,Las Vegas,Azerbaijan,0,0,2,0,0,15,0,0,0,0,3,-100,621662,21.22,1.79786863128534,66.0951687965195,24.579714099474,7.14296542210499,0.384283050616217,0.898176360907727,0.0598784240605151,0.273621659314506,0.17129777009717,0.29332848242303,64.5140752194279,1.58109357709158,5.0267558021435,2.97421437991723,14.939287825731,1.60307426440493,2.97118256097746,1.79938454075523,0.879227492534146,1.4780117331393,0.221322782603423,
New Jersey,Jersey City,Afghanistan,0,0,0,0,0,2,0,9,4,0,3,-100,265932,41.72,10.5143135275454,34.7788073262186,48.5668445341794,5.89937265647534,0.240661955581194,1.8757210845111,0.605710989327949,6.19682001730603,0.145118257859821,1.49805307182002,34.3182145947505,0.460592731468128,8.7954283241996,25.8301485434093,12.6829751946928,1.13751081626767,2.65990049033747,1.08613354485146,1.30155754254399,0.851781078742429,0.191988751081627,0.0162244014998558
