state,city,origin,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,avg5years,pct_change_2018_vs_5yr_average
Nebraska,Lincoln,Burma,67,84,82,93,126,87,99,79,43,20,86.8,-76.96
Arizona,Glendale,Burma,3,6,1,15,8,40,227,126,32,32,86.6,-63.05
Michigan,Grand Rapids,Bhutan,110,67,81,123,120,97,70,68,78,63,86.6,-27.25
Maryland,Silver Spring,Iraq,45,84,61,61,126,98,99,75,32,0,86,-100
Pennsylvania,Scranton,Bhutan,72,99,191,156,112,144,97,38,39,10,86,-88.37
Idaho,Boise,Somalia,98,58,49,81,111,146,92,52,23,0,84.8,-100
Washington,Spokane,Iraq,52,73,25,43,84,95,87,88,67,1,84.2,-98.81
New York,Rochester,Burma,151,156,105,82,86,117,95,83,39,18,84,-78.57
Missouri,Kansas City,Burma,98,153,137,83,134,91,114,60,20,20,83.8,-76.13
Maryland,Baltimore,Eritrea,35,68,50,13,65,76,94,107,76,40,83.6,-52.15
Illinois,Wheaton,Burma,118,92,71,48,78,115,119,78,22,5,82.4,-93.93
Pennsylvania,Erie,Syria,0,4,0,0,10,0,16,257,128,0,82.2,-100
Michigan,Lansing,Iraq,24,113,76,59,159,134,74,20,22,0,81.8,-100
Ohio,Cleveland,Dem. Rep. Congo,6,8,5,20,10,26,26,228,116,121,81.2,49.01
Michigan,Madison Heights,Iraq,197,86,113,119,164,114,62,33,30,0,80.6,-100
New York,Buffalo,Syria,0,0,0,0,0,0,18,262,120,0,80,-100
North Carolina,Raleigh,Iraq,63,62,40,51,127,120,84,29,37,0,79.4,-100
Michigan,Dearborn,Syria,0,0,0,0,0,0,52,262,81,0,79,-100
Texas,Dallas,Iran,33,16,27,22,42,67,98,73,113,6,78.6,-92.37
Massachusetts,Worcester,Bhutan,139,134,142,144,85,113,83,78,31,26,78,-66.67
Texas,Houston,Cuba,117,127,93,58,140,159,69,9,10,0,77.4,-100
Illinois,Skokie,Iraq,213,154,93,50,173,111,62,24,15,1,77,-98.7
Texas,Houston,Iran,42,33,32,32,76,82,56,78,92,0,76.8,-100
Texas,San Antonio,Iran,60,35,55,43,60,88,51,122,63,4,76.8,-94.79
